Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Barbados,BRB,2020,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.191
Barbados,BRB,2019,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.158
Barbados,BRB,2018,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.147
Barbados,BRB,2017,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.159
Barbados,BRB,2016,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.193
Barbados,BRB,2015,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.249
Barbados,BRB,2014,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.328
Barbados,BRB,2013,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.429
Barbados,BRB,2012,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.553
Barbados,BRB,2011,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.7
Barbados,BRB,2010,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.87
Barbados,BRB,2009,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.063
Barbados,BRB,2008,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.256
Barbados,BRB,2007,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.451
Barbados,BRB,2006,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.646
Barbados,BRB,2005,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.841
Barbados,BRB,2004,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.037
Barbados,BRB,2003,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.234
Barbados,BRB,2002,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.431
Barbados,BRB,2001,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.629
Barbados,BRB,2000,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.827
Barbados,BRB,1999,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.152
Barbados,BRB,1998,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.503
Barbados,BRB,1997,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.856
Barbados,BRB,1996,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.21
Barbados,BRB,1995,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.566
Barbados,BRB,1994,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.924
Barbados,BRB,1993,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.283
Barbados,BRB,1992,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.643
Barbados,BRB,1991,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.006
Barbados,BRB,1990,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.37
